id,eth_balance
0x22fed71424c324b613098c332667daff4e4da1cf,5.00384E+17
0xae856cd8b3b881e24ea93c6c761c2518209f0853,4.93122E+17
0x41db792491a30817026d97eac1546ab996afdeed,4.89657E+17
0x8d5f903c2c5f66fd27b42af9b6f5e721ea2415f0,4.77949E+17
0xe7f6b6d7ab295f73ede337e51271fb53a44a82b1,4.15296E+17
0x1f48b83fed1b007bfa904bfa683ee2b85bdeb36e,4.09271E+17
0xd72582f66699463d7a5b027a8f92c32485251b50,4.06377E+17
0x7f8cf59135f81422b5a2df47caf5a8104a06acfa,4.05698E+17
0x035cfa50e7584147db75523121c6f62aa67b2f69,4.03912E+17
0x07e3c5c448936ff130f8753453184e7cec9dfce9,4.03222E+17
0x6565abd067c4c9b227be5e6cc9c44a1464d86ef5,4.00693E+17
0xddb52ed9059238a1d4a0cfcbaf1384e6dcadb072,4.00419E+17
0x52312820440eeab31f556a7a8c21675e63f99de8,3.97894E+17
0x366526e63640972cbac9fca1cbae351dc1e8e5de,3.97301E+17
0x0dcfcfd1901d7762bf2d22faac500c79e8fa71c3,3.79572E+17
0xf76523cc343f7a001c4cb86a19a3408498e499bd,3.78965E+17
0x3dc26b606de34b1c3accb76148490b3e616f3840,3.7616E+17
0x2fb10b4b65fa92bcdf5ba318aa271d9c1f473da6,3.68802E+17
0x299adf9c334a80ddef88b7207dbe4554894a4fba,3.68042E+17
0xe49a3f870a773b6aa70e8f9c5a37750039951be7,3.66084E+17
0x561e21ca23b3d88380fc958ed504375fef6aa0e7,3.62904E+17
0x35171dddf925b8e61b218259f8e88aa3078655e8,3.52908E+17
0xe8d9f3c133e4b4d5d4fbf5a955a74f1cb447962d,3.42994E+17
0x4ae575c03a6ecb239a5faacc41eb7ac7e6e8eb8d,3.36764E+17
0xb94778f4c93929fb5471e5eae34d3af6e9d830cf,3.30283E+17
0x289753d34b276c1957582517cdf623a895e9b413,3.23828E+17
0xb6c5168ba022fe5bb63ee1f83bfe0e69df2fa23c,3.21623E+17
0x49de09b1cd8a9f3fb9c7548c287ef724a82c4864,3.09926E+17
0x0183e30ef6c3d80660271cfe21e4e52b783e832f,3.05803E+17
0xcadfc771970d70de7e72169cc6a5661e76b6bec1,3.00758E+17
0x965df24ef99772addc70ad75e9974168edae6816,3.00627E+17
0x32003baba5f089c49a8417cb65fb25fcfca0f5c4,3.00624E+17
0x03cedd855347d6fa2dce0b23c701d6e82e69270a,3.00482E+17
0x21c2bf7dcaf6df8c66238d7bbe98cb00e0cb6292,3.00181E+17
0xfd027d4c4fcd63205ce7b93d545eadbb32742199,3.00169E+17
0x091ddfe29a22ff50dce29825808a6f808f2dcb09,3.00118E+17
0x7127f831709c3657d8b994c4f4fd94684cd26400,2.93453E+17
0x6baea4fcde8696fec17c2a9d1e98fee834a1a325,2.69693E+17
0x0941bb7725e198400662dec72f25fe34d1f23738,2.60135E+17
0x356deeb194c26dcfbb99158e1f41c7bf0ee8a062,2.59206E+17
0xca5eb6d33c513f8e98bb2c02a0fe324fe804da85,2.59115E+17
0x2f8d10dcfd485a604caa40b073ea4bbf460f7c28,2.57946E+17
0x98ab44c41157783b0bb3ab0759b2a988bc30ee24,2.52401E+17
0xc9a20bfdc68a07c1a2db059acdd13fbabf95c39e,2.51795E+17
0xde5288879df10f8a94c8f20a461d46a8d5fcafdb,2.51142E+17
0x0749fdc2a43a5c58c48f2002b0c4bd70fea6b46d,2.51103E+17
0x3b6e6924d486a5f8e00210d53eb1cabf1da698cb,2.50475E+17
0xef554f73e8326c01adf47306e28b9c66d9cb1e35,2.50326E+17
0x64e46dacebafb8ed4bd2a1dd01594b0f3ac9cdad,2.50154E+17
0x04b6c50620b14a69b79b94043f3dd0bf04b87cb3,2.5E+17
0x0dabf92d8ebc8cda8188f7285a6c8e215a8a990a,2.5E+17
0x1419fce79b8b1ed34f420200da091b35bb7f741d,2.5E+17
0x2c245f3dfbe7a92f4a608d4a48cba55c6606da01,2.5E+17
0x2e54cbabd0a164f57280cdf53d4925351049e8da,2.5E+17
0x0d4aa009cc1a5960173edca37532689bc01fe9ad,2.5E+17
0x43da2ee4f75be4fad208551a6239eb874c26f69d,2.5E+17
0x47a5bf85bd4fa83eb059207935a0ff973216460d,2.5E+17
0x5e1d55fe437b2d1b82139ee0f3d0b0f3ab09d064,2.5E+17
0x0de4dfc240ab2500a453a1f85ddf446cc4b33327,2.5E+17
0x5ddbdc72f47a0b74f61106569324cc3d90e7950b,2.5E+17
0x2faadecf29f4ea60b8319e7a9da6d6c0b47f1ec9,2.5E+17
0x912efa9addb5e5a69148a2839a8bc271bde2350f,2.5E+17
0xbd300944556c167d7b2666ff945697bbdebd0824,2.5E+17
0xb1b60ffa0604e98747b10e8c9a18657a2694b2e4,2.5E+17
0xb1a7026213e108011a30b5db609ea9053e176431,2.5E+17
0xde6f93eeac4a14a50572a42930eec1e69f2e33ca,2.5E+17
0xb2787831fa9096815857a89e7c62bae7f363a4d7,2.5E+17
0x65697bde928fec0ffa9c49af73690541992d4219,2.5E+17
0xdae963cd10d496f90d271376c6bd8afc948595ae,2.5E+17
0x0af076c3689c466270bc0695b2dd266ff2923aab,2.49129E+17
0x0d2eadfcfde93a7b34542e7b27c8a75b520594e4,2.48804E+17
0x061169101f2bb95a983263bbd8f59141af8b52a9,2.48688E+17
0x142d841f7f174ddae704e2d811350169a0154c33,2.48654E+17
0xe053cec680308cf0f5bd747b10b372accffd1651,2.48296E+17
0x0896dfc65e837df3945b4d4b185632ec8d6639e5,2.48167E+17
0x8e43caa57ce2c1fd73c9f8e00232ce82e871b76f,2.4793E+17
0x0b7236f760350e971e4712859e40551a17aeffca,2.47744E+17
0x3fefd703b370b0b51a9d808ea3ac11c52a2ab7f9,2.47202E+17
0xa3ae6df3147b76054d0ab51f83ac35fac2aebc56,2.47193E+17
0x0dfb4c6ed57c0631f2ce0c74b0205f2d52105aba,2.47E+17
0xf1814233c75d7274e35b3960a1ed6bae445cc821,2.46433E+17
0x1f2b0bb4688c9d6438d2fcde7bba9c089f69120c,2.46372E+17
0x2146aa4abf071a3e083cae5cf17ebe924dc48624,2.46325E+17
0xd3dfde33838978f78191c68d0505f03d7e658044,2.46173E+17
0x85019c9e6ea3128bc1ba18e0787023fcb8081b6c,2.45765E+17
0x515279a7c5cfed8b73dc15b592b84cd63923fbe6,2.4542E+17
0x9ae27fb22f25328b16e7c985f570c38872bd160b,2.45178E+17
0x8e7fcae8af2ddd054abd751525d7955cdda7e358,2.45E+17
0x0947c217ac471dcf8c10fb1cd837c99a7492288f,2.45E+17
0x1a11de5b5267c76d035e4163cd10510f4b19d5f3,2.45E+17
0x917c614bcb1fa5a30a8fd530eea72e269cb12952,2.45E+17
0x864bed42bba7f9769fb656483c66c5bdfd4c9712,2.44E+17
0xdbf5d195975072abea189f0953841e8b9acc5a48,2.43931E+17
0x14455a839a3a3f420ad264a8c7e7e13295d7a73f,2.4386E+17
0xf5e77a2c348660907ad6f588bde25435981a68c2,2.4374E+17
0x77fdc74443bd8e7520e3e985c6bb6931133ec65c,2.43659E+17
0xaba68fd895fd81d382b69e24d2def7c9d8745b2e,2.43526E+17
0x445a9a77c7cfea4383c9bbe140f2c244fd15e94d,2.43352E+17
0x0cdb461f090d36d52be0eb07e489d944af68197c,2.43179E+17
0x55bb514fd118000a3e30a1d2f9a54869e8c34df3,2.43E+17
0x7536c7c79befde61f04c6549b758ed19cd86608e,2.42061E+17
0x4711700b6d0bcfc39c4252aa8595c9857d86d2a8,2.41953E+17
0x6ae26d80d34f33616fbcd67318a99e0dddbc0ea6,2.41738E+17
0x98b1fb53bfe8729ee6d81c28370b07f1e467fb1a,2.4136E+17
0xdf95a77979702dbf7b22f4d8e621d56db372ef9e,2.41126E+17
0x0a7f9399875184c4b98cc474ab10fbcf20bee6c7,2.4107E+17
0x1ffee8a40e04c1fd76b5e47b74b4824709a434c2,2.40727E+17
0xe88a6d76f83fe28c31f682e3813b9d41d72083fb,2.4042E+17
0x458f88f560bc68528dcce20f0ca7fe55bde451bb,2.40272E+17
0xc230d4ebd8b94d48c9443fc68bb1d672a5d0af91,2.40034E+17
0x3b43ca3e4784f3932c165fdef44c499a9d465a7f,2.4E+17
0x9d70f44a9fe6828d6fffec87d02c860623ed0105,2.4E+17
0x1df687e34178279a29178f1f97962e81d9be8ae5,2.4E+17
0x983183612a76b8a6f0110ef5f724a8c3f8fb796e,2.4E+17
0x41033b092f85d350932de57cb0df7557d8570109,2.39598E+17
0xd47614f009c16987e01de6b72c5ede52861b3f13,2.39418E+17
0x4f5f66911dcda9fbb270df6cca2e9cc002f60132,2.39134E+17
0x2871a6a5d4477ba03e71199dbe6eba3ae432381c,2.38782E+17
0x2d2ae3c6f5bece5121c9e96282a2f0e042aea258,2.38771E+17
0xddc981d07fdf1f06aa9465622ad4406f9a96f205,2.38252E+17
0x8476bbd8dcb01a3148f9d13fa717a2983ee8efe4,2.38128E+17
